cliente;posto;estado;uf;pais;lote;porte;polo_tecnico;chamados_hardware;qtde_kit;total_coletas;mesas;latitude;longitude
PPT;IPERO;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;VOTORANTIM;0;1;2938;1;-2.333.538.248;-4.777.122.502
PPT;IRACEMAPOLIS;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;SANTA BARBARA;0;1;3668;1;-2.225.869.091;-4.775.160.966
PPT;ITANHAEM;SÃO PAULO;SP;BRASIL;REGIÃO 4;C;CUBATAO;21;2;18471;2;-2.441.833.421;-4.667.896.229
PPT;ITAPECERICA DA SERRA;SÃO PAULO;SP;BRASIL;REGIÃO 6;B;COTIA;6;2;23365;2;-2.337.176.303;-4.668.492.435
PPT;ITAPETININGA;SÃO PAULO;SP;BRASIL;REGIÃO 2;B;ITAPEVA;7;3;18971;3;-2.335.886.070;-4.880.483.260
PPT;ITAPEVA;SÃO PAULO;SP;BRASIL;REGIÃO 4;B;ITAPEVA;7;2;13812;2;-2.339.849.105;-4.888.803.886
PPT;ITAPIRA;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;MOGI GUAÇU;1;1;5948;1;-2.224.361.110;-4.668.216.670
PPT;ITAPOLIS;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;MATAO;1;1;4098;1;-2.115.958.368;-4.888.122.696
PPT;ITAQUAQUECETUBA;SÃO PAULO;SP;BRASIL;REGIÃO 4;A;RESIDENTE;19;7;55858;7;-2.334.754.492;-4.663.514.033
PPT;ITAQUERA;SÃO PAULO;SP;BRASIL;REGIÃO 5;A;RESIDENTE;79;30;311218;30;-2.335.360.799;-4.664.555.099
PPT;ITARARE;SÃO PAULO;SP;BRASIL;REGIÃO 4;C;ITAPEVA;6;1;5374;1;-2.441.145.368;-4.993.352.464
PPT;ITATIBA;SÃO PAULO;SP;BRASIL;REGIÃO 3;B;BRAGANÇA;2;2;14116;2;-2.330.055.542;-4.668.397.726
PPT;ITATINGA;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;AVARE;4;1;2239;1;-2.331.042.417;-4.886.134.874
PPT;ITIRAPINA;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;JAU;7;1;1672;1;-2.222.536.514;-4.778.212.546
PPT;ITU;SÃO PAULO;SP;BRASIL;REGIÃO 2;B;LARANJAL PAULISTA;6;3;21681;3;-2.332.637.798;-4.772.998.462
PPT;ITUVERAVA;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;GUARA;0;1;4560;1;-2.003.366.604;-4.777.797.924
PPT;JABOTICABAL;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;CATANDUVA;8;1;8170;1;-2.112.520.370;-4.883.252.230
PPT;JACAREI;SÃO PAULO;SP;BRASIL;REGIÃO 4;B;GUARATINGUETA;6;5;30205;5;-2.333.050.682;-4.559.723.075
PPT;JAGUARIUNA;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;BRAGANÇA;0;1;6661;1;-2.226.907.254;-4.770.290.594
PPT;JALES;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;JALES;5;2;10106;2;-2.002.671.767;-5.005.492.435
PPT;JANDIRA;SÃO PAULO;SP;BRASIL;REGIÃO 6;C;COTIA;14;2;19603;2;-2.335.282.246;-4.669.020.030
PPT;JARINU;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;BRAGANÇA;2;1;5151;1;-2.330.949.649;-4.667.148.565
PPT;JAU;SÃO PAULO;SP;BRASIL;REGIÃO 2;B;JAU;5;3;20693;3;-2.222.935.850;-4.885.591.930
PPT;JOSE BONIFACIO;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;OLIMPIA;1;1;6148;2;-2.110.550.620;-4.996.892.330
PPT;JUNDIAI;SÃO PAULO;SP;BRASIL;REGIÃO 3;A;RESIDENTE;9;9;66298;9;-2.331.887.668;-4.668.845.060
PPT;JUNQUEIROPOLIS;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;DRACENA;2;1;2963;1;-2.115.109.531;-5.114.351.505
PPT;LAPA;SÃO PAULO;SP;BRASIL;REGIÃO 5;A;RESIDENTE;73;22;202697;22;-2.335.215.756;-4.667.043.491
PPT;LARANJAL PAULISTA;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;LARANJAL PAULISTA;5;1;5259;1;-2.330.514.764;-4.778.370.125
PPT;LENCOIS PAULISTA;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;AVARE;2;2;8693;2;-2.226.029.897;-4.888.031.367
PPT;LIMEIRA;SÃO PAULO;SP;BRASIL;REGIÃO 3;B;SANTA BARBARA;1;4;29663;4;-2.225.615.068;-4.774.017.660
PPT;LINS;SÃO PAULO;SP;BRASIL;REGIÃO 1;B;MARILIA;7;2;12379;2;-2.116.741.873;-4.997.518.932
PPT;LORENA;SÃO PAULO;SP;BRASIL;REGIÃO 4;C;GUARATINGUETA;4;1;7925;1;-2.227.367.652;-4.551.070.876
PPT;LOUVEIRA;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;BRAGANÇA;8;1;5602;1;-2.330.863.900;-4.669.505.600
PPT;LUCELIA;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;DRACENA;1;1;2317;1;-2.117.211.293;-5.110.188.000
PPT;MAIRIPORA;SÃO PAULO;SP;BRASIL;REGIÃO 5;C;FRANCO DA ROCHA;14;2;12630;2;-2.333.190.348;-4.665.876.377
PPT;MARILIA;SÃO PAULO;SP;BRASIL;REGIÃO 2;B;MARILIA;12;5;32476;5;-2.222.172.002;-4.999.500.061
PPT;MARTINOPOLIS;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;PIRAPOZINHO;1;1;3378;1;-2.221.461.530;-5.111.709.490
PPT;MATAO;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;MATAO;3;1;8952;1;-2.116.033.611;-4.883.660.603
PPT;MAUA;SÃO PAULO;SP;BRASIL;REGIÃO 7;A;RESIDENTE;16;6;53719;6;-2.336.669.527;-4.664.616.922
PPT;MIGUELOPOLIS;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;GUARA;5;1;2842;1;-2.001.796.120;-4.880.309.970
PPT;MIRANDOPOLIS;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;DRACENA;12;1;3767;1;-2.111.328.313;-5.111.029.422
PPT;MIRASSOL;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;OLIMPIA;0;1;7706;1;-2.008.141.411;-4.995.074.490
PPT;MOCOCA;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;AGUAI;0;1;7689;1;-2.114.647.310;-4.770.024.050
PPT;MOGI DAS CRUZES;SÃO PAULO;SP;BRASIL;REGIÃO 4;A;RESIDENTE;10;8;57407;8;-2.335.234.284;-4.661.926.671
PPT;MOGI GUACU;SÃO PAULO;SP;BRASIL;REGIÃO 3;B;MOGI GUAÇU;8;3;24838;3;-2.223.722.220;-4.669.425.000
PPT;MOGI MIRIM;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;MOGI GUAÇU;0;1;7896;1;-2.224.331.230;-4.669.582.460
PPT;MONGAGUA;SÃO PAULO;SP;BRASIL;REGIÃO 4;C;CUBATAO;3;1;10321;1;-2.440.959.454;-4.666.234.361
PPT;MONTE ALTO;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;CATANDUVA;2;1;5599;1;-2.112.655.450;-4.884.970.660
PPT;MONTE APRAZIVEL;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;OLIMPIA;0;1;3223;1;-2.007.625.702;-4.997.088.402
PPT;MONTE MOR;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;SANTA BARBARA;6;1;6827;1;-2.229.450.430;-4.773.121.820
PPT;NAZARE PAULISTA;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;BRAGANÇA;2;1;2611;1;-2.331.819.309;-4.663.992.986
PPT;NEVES PAULISTA;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;OLIMPIA;3;1;1425;1;-2.008.429.920;-4.996.357.670
PPT;NOVA GRANADA;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;OLIMPIA;6;1;5415;1;-2.005.345.426;-4.993.186.951
PPT;NOVA ODESSA;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;SANTA BARBARA;3;1;6919;1;-2.227.805.746;-4.772.993.805
PPT;NOVO HORIZONTE;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;CATANDUVA;1;1;6294;1;-2.114.674.564;-4.992.235.377
PPT;OLIMPIA;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;OLIMPIA;4;1;7722;1;-2.007.366.340;-4.889.106.250
PPT;ORLANDIA;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;GUARA;3;1;7154;1;-2.007.202.780;-4.778.866.670
PPT;OSASCO;SÃO PAULO;SP;BRASIL;REGIÃO 6;A;RESIDENTE;33;11;137219;11;-2.335.324.859;-4.667.916.801
PPT;OSVALDO CRUZ;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;DRACENA;7;1;5856;1;-2.117.962.773;-5.008.791.190
PPT;OURINHOS;SÃO PAULO;SP;BRASIL;REGIÃO 2;B;MARILIA;2;3;16213;3;-2.229.777.918;-4.998.682.040
PPT;PALMITAL;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;MARILIA;5;1;3056;1;-2.227.863.840;-5.002.198.965
PPT;PARAGUACU PAULISTA;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;MARILIA;2;1;5803;1;-2.224.203.497;-5.005.792.099
PPT;PARANAPANEMA;SÃO PAULO;SP;BRASIL;REGIÃO 4;C;AVARE;2;1;1932;1;-2.333.901.610;-4.887.208.680
PPT;PAULINIA;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;SANTA BARBARA;5;2;13533;2;-2.227.630.391;-4.771.532.213
PPT;PEDERNEIRAS;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;JAU;3;1;4829;1;-2.223.510.860;-4.887.781.130
PPT;PEDREIRA;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;BRAGANÇA;8;1;5247;1;-2.227.413.470;-4.668.948.460
PPT;PENAPOLIS;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;BIRIGUI;4;2;8694;2;-2.114.192.406;-5.000.765.588
PPT;PEREIRA BARRETO;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;JALES;4;1;5580;1;-2.006.378.509;-5.111.052.172
PPT;PIEDADE;SÃO PAULO;SP;BRASIL;REGIÃO 5;C;VOTORANTIM;1;1;5818;1;-2.337.074.096;-4.774.252.319
PPT;PINDAMONHANGABA;SÃO PAULO;SP;BRASIL;REGIÃO 4;B;GUARATINGUETA;15;3;19069;3;-2.229.364.000;-4.554.622.602
PPT;PIQUETE;SÃO PAULO;SP;BRASIL;REGIÃO 4;C;GUARATINGUETA;1;1;1573;1;-2.226.138.451;-4.551.777.096
PPT;PIRACICABA;SÃO PAULO;SP;BRASIL;REGIÃO 3;A;RESIDENTE;47;6;47359;6;-2.227.251.650;-4.776.493.269
PPT;PIRAJUI;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;MARILIA;2;1;3759;1;-2.119.957.877;-4.994.549.675
PPT;PIRAPOZINHO;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;PIRAPOZINHO;1;1;4147;1;-2.222.738.742;-5.114.998.867
PPT;PIRASSUNUNGA;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;AGUAI;1;2;10109;2;-2.119.980.468;-4.774.280.861
PPT;PITANGUEIRAS;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;CATANDUVA;1;1;4065;1;-2.110.132.030;-4.882.209.510
PPT;POA;SÃO PAULO;SP;BRASIL;REGIÃO 7;C;FERRAZ;7;2;13203;2;-2.335.249.082;-4.663.445.663
PPT;PONTAL;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;GUARA;5;1;3904;1;-2.110.239.714;-4.880.393.457
PPT;PORTO FELIZ;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;LARANJAL PAULISTA;3;1;6685;1;-2.332.110.713;-4.775.247.163
PPT;PORTO FERREIRA;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;SANTA RITA DO PASSA QUATRO;7;1;5761;1;-2.118.529.134;-4.774.794.943
PPT;POTIM;SÃO PAULO;SP;BRASIL;REGIÃO 4;C;GUARATINGUETA;2;1;2031;1;-2.228.377.227;-4.552.565.239
PPT;PRADOPOLIS;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;MATAO;3;1;2604;1;-2.113.597.815;-4.880.746.603
PPT;PRAIA GRANDE;SÃO PAULO;SP;BRASIL;REGIÃO 4;B;CUBATAO;15;6;46574;6;-2.440.089.790;-4.664.144.939
PPT;PRESIDENTE EPITACIO;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;PIRAPOZINHO;1;1;5240;1;-2.117.650.740;-5.221.111.400
PPT;PRESIDENTE PRUDENTE;SÃO PAULO;SP;BRASIL;REGIÃO 2;B;PIRAPOZINHO;9;4;23656;4;-2.221.225.167;-5.113.882.528
PPT;PRESIDENTE VENCESLAU;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;PIRAPOZINHO;5;1;4042;2;-2.118.771.160;-5.118.451.047
PPT;PROMISSAO;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;BIRIGUI;2;1;3856;1;-2.115.404.913;-4.998.574.709
PPT;REGENTE FEIJO;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;PIRAPOZINHO;5;1;3167;1;-2.222.191.056;-5.113.034.558
PPT;REGISTRO;SÃO PAULO;SP;BRASIL;REGIÃO 4;B;REGISTRO;12;2;10603;2;-2.444.979.420;-4.778.448.950
PPT;RIBEIRAO PIRES;SÃO PAULO;SP;BRASIL;REGIÃO 7;C;FERRAZ;3;2;12647;2;-2.337.134.177;-4.664.160.929
PPT;RIBEIRAO PRETO;SÃO PAULO;SP;BRASIL;REGIÃO 1;A;RESIDENTE;25;11;96310;12;-2.111.776.315;-4.778.100.983
PPT;RIO CLARO;SÃO PAULO;SP;BRASIL;REGIÃO 3;B;MOGI GUAÇU;6;3;23148;3;-2.224.100.108;-4.775.603.933
PPT;RIO DAS PEDRAS;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;LARANJAL PAULISTA;2;1;4170;1;-2.228.441.256;-4.776.065.667
PPT;SALTO;SÃO PAULO;SP;BRASIL;REGIÃO 3;B;LARANJAL PAULISTA;2;2;12453;2;-2.331.989.983;-4.772.913.682
PPT;SANTA BARBARA DO OESTE;SÃO PAULO;SP;BRASIL;REGIÃO 3;B;SANTA BARBARA;24;2;14046;3;-2.334.733.798;-4.666.640.028
PPT;SANTA CRUZ DAS PALMEIRAS;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;AGUAI;1;1;3785;1;-2.118.234.750;-4.772.480.230
