cliente;posto;estado;uf;pais;lote;porte;polo_tecnico;chamados_hardware;qtde_kit;total_coletas;mesas;latitude;longitude
PPT;TANABI;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;JALES;1;1;3654;1;-2.006.251.635;-4.996.519.879
PPT;TAQUARITINGA;SÃO PAULO;SP;BRASIL;REGIÃO 1;C;MATAO;2;1;6292;2;-2.114.064.327;-4.885.056.132
PPT;TAQUARITUBA;SÃO PAULO;SP;BRASIL;REGIÃO 4;C;AVARE;14;1;5661;1;-2.335.337.307;-4.992.452.541
PPT;TATUI;SÃO PAULO;SP;BRASIL;REGIÃO 2;B;VOTORANTIM;2;3;18776;3;-2.333.489.848;-4.778.490.165
PPT;TAUBATE;SÃO PAULO;SP;BRASIL;REGIÃO 4;A;RESIDENTE;10;5;45983;5;-2.330.314.480;-4.555.612.792
PPT;TEODORO SAMPAIO;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;PIRAPOZINHO;1;1;5037;1;-2.225.300.202;-5.221.686.847
PPT;TIETE;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;LARANJAL PAULISTA;1;1;4936;1;-2.331.030.302;-4.777.147.937
PPT;TREMEMBE;SÃO PAULO;SP;BRASIL;REGIÃO 4;C;GUARATINGUETA;1;1;6440;1;-2.229.571.400;-4.555.475.260
PPT;TUPA;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;MARILIA;6;2;9090;2;-2.119.349.129;-5.005.141.255
PPT;TUPI PAULISTA;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;DRACENA;1;1;2668;1;-2.113.861.179;-5.115.763.259
PPT;UBATUBA;SÃO PAULO;SP;BRASIL;REGIÃO 4;C;UBATUBA;25;2;12682;2;-2.334.331.620;-4.550.834.150
PPT;VALINHOS;SÃO PAULO;SP;BRASIL;REGIÃO 3;B;BRAGANÇA;8;2;12146;2;-2.229.705.600;-4.669.958.300
PPT;VALPARAISO;SÃO PAULO;SP;BRASIL;REGIÃO 2;C;BIRIGUI;4;1;2212;1;-2.112.230.369;-5.008.666.375
PPT;VARGEM GRANDE DO SUL;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;AGUAI;0;1;6671;1;-2.118.310.636;-4.668.933.030
PPT;VARZEA PAULISTA;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;FRANCO DA ROCHA;4;2;9417;2;-2.332.113.889;-4.668.283.333
PPT;VINHEDO;SÃO PAULO;SP;BRASIL;REGIÃO 3;C;BRAGANÇA;14;2;10791;2;-2.330.298.535;-4.669.749.847
PPT;VOTORANTIM;SÃO PAULO;SP;BRASIL;REGIÃO 4;C;VOTORANTIM;3;2;13369;2;-2.335.383.101;-4.774.422.496
PPT;VOTUPORANGA;SÃO PAULO;SP;BRASIL;REGIÃO 1;B;JALES;4;3;16933;2;-2.004.252.908;-4.999.720.280
